epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1625494047891,2021-07-05T10.07.27.891,0.000,0.979,-0.039,-0.108
1625494047901,2021-07-05T10.07.27.901,0.010,0.988,-0.037,-0.108
1625494047911,2021-07-05T10.07.27.911,0.020,0.986,-0.039,-0.108
1625494047922,2021-07-05T10.07.27.922,0.031,0.985,-0.038,-0.109
1625494047932,2021-07-05T10.07.27.932,0.041,0.986,-0.040,-0.107
1625494047942,2021-07-05T10.07.27.942,0.051,0.987,-0.039,-0.110
1625494047951,2021-07-05T10.07.27.951,0.060,0.984,-0.038,-0.112
1625494047961,2021-07-05T10.07.27.961,0.070,0.986,-0.038,-0.110
1625494047971,2021-07-05T10.07.27.971,0.080,0.987,-0.036,-0.107
1625494047982,2021-07-05T10.07.27.982,0.091,0.986,-0.038,-0.111
1625494047992,2021-07-05T10.07.27.992,0.101,0.985,-0.038,-0.109
1625494048002,2021-07-05T10.07.28.002,0.111,0.984,-0.038,-0.109
1625494048012,2021-07-05T10.07.28.012,0.121,0.986,-0.037,-0.107
1625494048023,2021-07-05T10.07.28.023,0.132,0.984,-0.037,-0.107
1625494048033,2021-07-05T10.07.28.033,0.142,0.984,-0.039,-0.110
1625494048043,2021-07-05T10.07.28.043,0.152,0.986,-0.038,-0.109
1625494048053,2021-07-05T10.07.28.053,0.162,0.986,-0.037,-0.109
1625494048064,2021-07-05T10.07.28.064,0.173,0.986,-0.036,-0.112
1625494048072,2021-07-05T10.07.28.072,0.181,0.986,-0.037,-0.109
1625494048083,2021-07-05T10.07.28.083,0.192,0.984,-0.037,-0.106
1625494048094,2021-07-05T10.07.28.094,0.203,0.984,-0.039,-0.109
1625494048103,2021-07-05T10.07.28.103,0.212,0.985,-0.037,-0.110
1625494048113,2021-07-05T10.07.28.113,0.222,0.985,-0.040,-0.107
1625494048124,2021-07-05T10.07.28.124,0.233,0.984,-0.040,-0.108
1625494048134,2021-07-05T10.07.28.134,0.243,0.985,-0.038,-0.111
1625494048144,2021-07-05T10.07.28.144,0.253,0.986,-0.037,-0.108
1625494048155,2021-07-05T10.07.28.155,0.264,0.985,-0.037,-0.106
1625494048163,2021-07-05T10.07.28.163,0.272,0.985,-0.039,-0.109
1625494048174,2021-07-05T10.07.28.174,0.283,0.986,-0.036,-0.110
1625494048184,2021-07-05T10.07.28.184,0.293,0.988,-0.037,-0.109
1625494048194,2021-07-05T10.07.28.194,0.303,0.986,-0.038,-0.105
1625494048204,2021-07-05T10.07.28.204,0.313,0.983,-0.038,-0.106
1625494048215,2021-07-05T10.07.28.215,0.324,0.986,-0.038,-0.108
1625494048225,2021-07-05T10.07.28.225,0.334,0.986,-0.036,-0.106
1625494048235,2021-07-05T10.07.28.235,0.344,0.989,-0.037,-0.111
1625494048245,2021-07-05T10.07.28.245,0.354,0.987,-0.038,-0.110
1625494048256,2021-07-05T10.07.28.256,0.365,0.984,-0.037,-0.106
1625494048266,2021-07-05T10.07.28.266,0.375,0.985,-0.037,-0.104
1625494048276,2021-07-05T10.07.28.276,0.385,0.985,-0.037,-0.108
1625494048285,2021-07-05T10.07.28.285,0.394,0.986,-0.038,-0.111
1625494048295,2021-07-05T10.07.28.295,0.404,0.986,-0.039,-0.109
1625494048305,2021-07-05T10.07.28.305,0.414,0.985,-0.039,-0.108
1625494048316,2021-07-05T10.07.28.316,0.425,0.985,-0.039,-0.108
1625494048326,2021-07-05T10.07.28.326,0.435,0.983,-0.037,-0.108
1625494048336,2021-07-05T10.07.28.336,0.445,0.984,-0.040,-0.109
1625494048346,2021-07-05T10.07.28.346,0.455,0.987,-0.037,-0.109
1625494048357,2021-07-05T10.07.28.357,0.466,0.982,-0.039,-0.109
1625494048367,2021-07-05T10.07.28.367,0.476,0.984,-0.039,-0.111
1625494048377,2021-07-05T10.07.28.377,0.486,0.987,-0.038,-0.108
1625494048387,2021-07-05T10.07.28.387,0.496,0.985,-0.037,-0.109
1625494048396,2021-07-05T10.07.28.396,0.505,0.986,-0.037,-0.109
1625494048406,2021-07-05T10.07.28.406,0.515,0.985,-0.035,-0.110
1625494048417,2021-07-05T10.07.28.417,0.526,0.984,-0.038,-0.109
1625494048427,2021-07-05T10.07.28.427,0.536,0.988,-0.040,-0.108
1625494048437,2021-07-05T10.07.28.437,0.546,0.984,-0.038,-0.109
1625494048447,2021-07-05T10.07.28.447,0.556,0.985,-0.038,-0.109
1625494048458,2021-07-05T10.07.28.458,0.567,0.987,-0.039,-0.108
1625494048468,2021-07-05T10.07.28.468,0.577,0.983,-0.040,-0.109
1625494048478,2021-07-05T10.07.28.478,0.587,0.982,-0.039,-0.108
1625494048488,2021-07-05T10.07.28.488,0.597,0.984,-0.039,-0.109
1625494048499,2021-07-05T10.07.28.499,0.608,0.986,-0.038,-0.110
1625494048508,2021-07-05T10.07.28.508,0.617,0.985,-0.039,-0.111
1625494048518,2021-07-05T10.07.28.518,0.627,0.985,-0.038,-0.108
1625494048528,2021-07-05T10.07.28.528,0.637,0.986,-0.038,-0.108
1625494048538,2021-07-05T10.07.28.538,0.647,0.985,-0.040,-0.108
1625494048549,2021-07-05T10.07.28.549,0.658,0.983,-0.037,-0.108
1625494048559,2021-07-05T10.07.28.559,0.668,0.983,-0.039,-0.106
1625494048569,2021-07-05T10.07.28.569,0.678,0.983,-0.040,-0.108
1625494048579,2021-07-05T10.07.28.579,0.688,0.984,-0.039,-0.107
1625494048590,2021-07-05T10.07.28.590,0.699,0.988,-0.039,-0.108
1625494048600,2021-07-05T10.07.28.600,0.709,0.985,-0.040,-0.106
1625494048609,2021-07-05T10.07.28.609,0.718,0.984,-0.038,-0.106
1625494048619,2021-07-05T10.07.28.619,0.728,0.983,-0.039,-0.106
1625494048629,2021-07-05T10.07.28.629,0.738,0.984,-0.039,-0.104
1625494048639,2021-07-05T10.07.28.639,0.748,0.988,-0.039,-0.106
1625494048650,2021-07-05T10.07.28.650,0.759,0.987,-0.038,-0.109
1625494048660,2021-07-05T10.07.28.660,0.769,0.984,-0.037,-0.106
1625494048670,2021-07-05T10.07.28.670,0.779,0.982,-0.037,-0.105
1625494048680,2021-07-05T10.07.28.680,0.789,0.985,-0.038,-0.108
1625494048691,2021-07-05T10.07.28.691,0.800,0.987,-0.040,-0.108
1625494048701,2021-07-05T10.07.28.701,0.810,0.988,-0.039,-0.105
1625494048711,2021-07-05T10.07.28.711,0.820,0.985,-0.037,-0.106
1625494048721,2021-07-05T10.07.28.721,0.830,0.986,-0.039,-0.110
1625494048730,2021-07-05T10.07.28.730,0.839,0.984,-0.038,-0.108
1625494048740,2021-07-05T10.07.28.740,0.849,0.985,-0.037,-0.106
1625494048751,2021-07-05T10.07.28.751,0.860,0.986,-0.037,-0.105
1625494048761,2021-07-05T10.07.28.761,0.870,0.984,-0.038,-0.108
1625494048771,2021-07-05T10.07.28.771,0.880,0.982,-0.036,-0.109
1625494048781,2021-07-05T10.07.28.781,0.890,0.985,-0.037,-0.108
1625494048792,2021-07-05T10.07.28.792,0.901,0.986,-0.039,-0.107
1625494048802,2021-07-05T10.07.28.802,0.911,0.986,-0.037,-0.105
1625494048812,2021-07-05T10.07.28.812,0.921,0.984,-0.039,-0.107
1625494048822,2021-07-05T10.07.28.822,0.931,0.986,-0.040,-0.106
1625494048833,2021-07-05T10.07.28.833,0.942,0.986,-0.036,-0.105
1625494048842,2021-07-05T10.07.28.842,0.951,0.984,-0.037,-0.106
1625494048852,2021-07-05T10.07.28.852,0.961,0.985,-0.037,-0.109
1625494048862,2021-07-05T10.07.28.862,0.971,0.988,-0.039,-0.108
1625494048872,2021-07-05T10.07.28.872,0.981,0.989,-0.039,-0.109
1625494048883,2021-07-05T10.07.28.883,0.992,0.983,-0.035,-0.106
1625494048893,2021-07-05T10.07.28.893,1.002,0.984,-0.037,-0.107
1625494048903,2021-07-05T10.07.28.903,1.012,0.985,-0.039,-0.108
1625494048913,2021-07-05T10.07.28.913,1.022,0.985,-0.038,-0.107
1625494048924,2021-07-05T10.07.28.924,1.033,0.987,-0.038,-0.109
1625494048934,2021-07-05T10.07.28.934,1.043,0.988,-0.038,-0.110
1625494048943,2021-07-05T10.07.28.943,1.052,0.985,-0.036,-0.108
1625494048953,2021-07-05T10.07.28.953,1.062,0.986,-0.038,-0.108
1625494048965,2021-07-05T10.07.28.965,1.074,0.983,-0.039,-0.109
1625494048973,2021-07-05T10.07.28.973,1.082,0.984,-0.036,-0.106
1625494048984,2021-07-05T10.07.28.984,1.093,0.986,-0.038,-0.106
1625494048994,2021-07-05T10.07.28.994,1.103,0.986,-0.038,-0.105
1625494049004,2021-07-05T10.07.29.004,1.113,0.986,-0.039,-0.110
1625494049014,2021-07-05T10.07.29.014,1.123,0.985,-0.039,-0.111
1625494049025,2021-07-05T10.07.29.025,1.134,0.983,-0.037,-0.106
1625494049035,2021-07-05T10.07.29.035,1.144,0.987,-0.039,-0.103
1625494049045,2021-07-05T10.07.29.045,1.154,0.984,-0.038,-0.106
1625494049055,2021-07-05T10.07.29.055,1.164,0.986,-0.039,-0.107
1625494049064,2021-07-05T10.07.29.064,1.173,0.983,-0.039,-0.106
1625494049074,2021-07-05T10.07.29.074,1.183,0.986,-0.039,-0.109
1625494049085,2021-07-05T10.07.29.085,1.194,0.986,-0.036,-0.106
1625494049095,2021-07-05T10.07.29.095,1.204,0.988,-0.040,-0.107
1625494049105,2021-07-05T10.07.29.105,1.214,0.986,-0.038,-0.109
1625494049115,2021-07-05T10.07.29.115,1.224,0.985,-0.037,-0.109
1625494049126,2021-07-05T10.07.29.126,1.235,0.984,-0.039,-0.106
1625494049136,2021-07-05T10.07.29.136,1.245,0.985,-0.036,-0.107
1625494049146,2021-07-05T10.07.29.146,1.255,0.985,-0.036,-0.108
1625494049156,2021-07-05T10.07.29.156,1.265,0.985,-0.038,-0.108
1625494049165,2021-07-05T10.07.29.165,1.274,0.986,-0.037,-0.108
1625494049176,2021-07-05T10.07.29.176,1.285,0.984,-0.037,-0.106
1625494049186,2021-07-05T10.07.29.186,1.295,0.985,-0.039,-0.108
1625494049196,2021-07-05T10.07.29.196,1.305,0.987,-0.039,-0.107
1625494049206,2021-07-05T10.07.29.206,1.315,0.984,-0.036,-0.107
1625494049217,2021-07-05T10.07.29.217,1.326,0.983,-0.039,-0.109
1625494049227,2021-07-05T10.07.29.227,1.336,0.984,-0.038,-0.108
1625494049237,2021-07-05T10.07.29.237,1.346,0.986,-0.037,-0.109
1625494049247,2021-07-05T10.07.29.247,1.356,0.985,-0.039,-0.107
1625494049258,2021-07-05T10.07.29.258,1.367,0.985,-0.039,-0.107
1625494049268,2021-07-05T10.07.29.268,1.377,0.985,-0.037,-0.108
1625494049277,2021-07-05T10.07.29.277,1.386,0.985,-0.037,-0.107
1625494049287,2021-07-05T10.07.29.287,1.396,0.985,-0.037,-0.106
1625494049297,2021-07-05T10.07.29.297,1.406,0.987,-0.039,-0.107
1625494049307,2021-07-05T10.07.29.307,1.416,0.984,-0.038,-0.104
1625494049318,2021-07-05T10.07.29.318,1.427,0.985,-0.037,-0.104
1625494049328,2021-07-05T10.07.29.328,1.437,0.985,-0.038,-0.107
1625494049338,2021-07-05T10.07.29.338,1.447,0.986,-0.037,-0.109
1625494049348,2021-07-05T10.07.29.348,1.457,0.988,-0.035,-0.108
1625494049359,2021-07-05T10.07.29.359,1.468,0.985,-0.037,-0.110
1625494049369,2021-07-05T10.07.29.369,1.478,0.984,-0.038,-0.107
1625494049379,2021-07-05T10.07.29.379,1.488,0.983,-0.037,-0.109
1625494049388,2021-07-05T10.07.29.388,1.497,0.984,-0.037,-0.106
1625494049398,2021-07-05T10.07.29.398,1.507,0.985,-0.039,-0.106
1625494049408,2021-07-05T10.07.29.408,1.517,0.986,-0.038,-0.108
1625494049419,2021-07-05T10.07.29.419,1.528,0.983,-0.035,-0.109
1625494049429,2021-07-05T10.07.29.429,1.538,0.985,-0.038,-0.105
1625494049439,2021-07-05T10.07.29.439,1.548,0.984,-0.038,-0.108
1625494049449,2021-07-05T10.07.29.449,1.558,0.984,-0.037,-0.108
1625494049460,2021-07-05T10.07.29.460,1.569,0.986,-0.041,-0.107
1625494049470,2021-07-05T10.07.29.470,1.579,0.984,-0.038,-0.107
1625494049480,2021-07-05T10.07.29.480,1.589,0.984,-0.038,-0.107
1625494049490,2021-07-05T10.07.29.490,1.599,0.987,-0.038,-0.106
1625494049499,2021-07-05T10.07.29.499,1.608,0.989,-0.038,-0.105
1625494049509,2021-07-05T10.07.29.509,1.618,0.986,-0.036,-0.110
1625494049520,2021-07-05T10.07.29.520,1.629,0.985,-0.037,-0.108
1625494049530,2021-07-05T10.07.29.530,1.639,0.985,-0.039,-0.105
1625494049540,2021-07-05T10.07.29.540,1.649,0.987,-0.039,-0.107
1625494049551,2021-07-05T10.07.29.551,1.660,0.985,-0.038,-0.107
1625494049561,2021-07-05T10.07.29.561,1.670,0.985,-0.036,-0.105
1625494049571,2021-07-05T10.07.29.571,1.680,0.983,-0.036,-0.107
1625494049581,2021-07-05T10.07.29.581,1.690,0.983,-0.036,-0.107
1625494049592,2021-07-05T10.07.29.592,1.701,0.984,-0.040,-0.108
1625494049602,2021-07-05T10.07.29.602,1.711,0.987,-0.040,-0.106
1625494049611,2021-07-05T10.07.29.611,1.720,0.985,-0.039,-0.108
1625494049622,2021-07-05T10.07.29.622,1.731,0.984,-0.036,-0.108
1625494049631,2021-07-05T10.07.29.631,1.740,0.985,-0.038,-0.108
1625494049641,2021-07-05T10.07.29.641,1.750,0.984,-0.038,-0.107
1625494049652,2021-07-05T10.07.29.652,1.761,0.988,-0.038,-0.106
1625494049662,2021-07-05T10.07.29.662,1.771,0.988,-0.037,-0.106
1625494049672,2021-07-05T10.07.29.672,1.781,0.985,-0.039,-0.106
1625494049682,2021-07-05T10.07.29.682,1.791,0.982,-0.037,-0.107
1625494049693,2021-07-05T10.07.29.693,1.802,0.985,-0.035,-0.104
1625494049703,2021-07-05T10.07.29.703,1.812,0.986,-0.037,-0.106
1625494049713,2021-07-05T10.07.29.713,1.822,0.983,-0.037,-0.108
1625494049722,2021-07-05T10.07.29.722,1.831,0.983,-0.038,-0.107
1625494049732,2021-07-05T10.07.29.732,1.841,0.984,-0.038,-0.104
1625494049742,2021-07-05T10.07.29.742,1.851,0.987,-0.039,-0.106
1625494049753,2021-07-05T10.07.29.753,1.862,0.987,-0.038,-0.106
1625494049763,2021-07-05T10.07.29.763,1.872,0.986,-0.037,-0.105
1625494049773,2021-07-05T10.07.29.773,1.882,0.986,-0.037,-0.106
1625494049783,2021-07-05T10.07.29.783,1.892,0.984,-0.038,-0.107
1625494049794,2021-07-05T10.07.29.794,1.903,0.983,-0.040,-0.107
1625494049804,2021-07-05T10.07.29.804,1.913,0.987,-0.039,-0.108
1625494049814,2021-07-05T10.07.29.814,1.923,0.986,-0.038,-0.110
1625494049824,2021-07-05T10.07.29.824,1.933,0.982,-0.036,-0.107
1625494049836,2021-07-05T10.07.29.836,1.945,0.985,-0.037,-0.107
1625494049843,2021-07-05T10.07.29.843,1.952,0.988,-0.036,-0.105
1625494049854,2021-07-05T10.07.29.854,1.963,0.985,-0.038,-0.105
1625494049865,2021-07-05T10.07.29.865,1.974,0.985,-0.039,-0.108
1625494049874,2021-07-05T10.07.29.874,1.983,0.984,-0.036,-0.107
1625494049884,2021-07-05T10.07.29.884,1.993,0.983,-0.037,-0.108
1625494049895,2021-07-05T10.07.29.895,2.004,0.985,-0.040,-0.107
1625494049905,2021-07-05T10.07.29.905,2.014,0.987,-0.037,-0.106
1625494049915,2021-07-05T10.07.29.915,2.024,0.989,-0.037,-0.108
1625494049926,2021-07-05T10.07.29.926,2.035,0.987,-0.038,-0.109
1625494049936,2021-07-05T10.07.29.936,2.045,0.983,-0.038,-0.106
1625494049945,2021-07-05T10.07.29.945,2.054,0.985,-0.037,-0.105
1625494049955,2021-07-05T10.07.29.955,2.064,0.988,-0.038,-0.107
1625494049965,2021-07-05T10.07.29.965,2.074,0.985,-0.038,-0.108
1625494049975,2021-07-05T10.07.29.975,2.084,0.984,-0.036,-0.108
1625494049986,2021-07-05T10.07.29.986,2.095,0.985,-0.036,-0.109
1625494049996,2021-07-05T10.07.29.996,2.105,0.984,-0.038,-0.108
1625494050006,2021-07-05T10.07.30.006,2.115,0.986,-0.039,-0.110
1625494050016,2021-07-05T10.07.30.016,2.125,0.986,-0.038,-0.108
1625494050027,2021-07-05T10.07.30.027,2.136,0.985,-0.038,-0.110
1625494050037,2021-07-05T10.07.30.037,2.146,0.985,-0.036,-0.107
1625494050047,2021-07-05T10.07.30.047,2.156,0.985,-0.037,-0.108
1625494050056,2021-07-05T10.07.30.056,2.165,0.985,-0.039,-0.108
1625494050066,2021-07-05T10.07.30.066,2.175,0.988,-0.039,-0.108
1625494050076,2021-07-05T10.07.30.076,2.185,0.985,-0.037,-0.105
1625494050087,2021-07-05T10.07.30.087,2.196,0.983,-0.036,-0.105
1625494050097,2021-07-05T10.07.30.097,2.206,0.987,-0.037,-0.107
1625494050107,2021-07-05T10.07.30.107,2.216,0.985,-0.037,-0.106
1625494050117,2021-07-05T10.07.30.117,2.226,0.984,-0.037,-0.110
1625494050128,2021-07-05T10.07.30.128,2.237,0.984,-0.038,-0.109
1625494050138,2021-07-05T10.07.30.138,2.247,0.984,-0.036,-0.106
1625494050148,2021-07-05T10.07.30.148,2.257,0.986,-0.037,-0.107
1625494050158,2021-07-05T10.07.30.158,2.267,0.985,-0.039,-0.109
1625494050167,2021-07-05T10.07.30.167,2.276,0.986,-0.038,-0.108
1625494050177,2021-07-05T10.07.30.177,2.286,0.984,-0.038,-0.106
1625494050188,2021-07-05T10.07.30.188,2.297,0.985,-0.039,-0.107
1625494050198,2021-07-05T10.07.30.198,2.307,0.985,-0.040,-0.108
1625494050208,2021-07-05T10.07.30.208,2.317,0.984,-0.037,-0.106
1625494050218,2021-07-05T10.07.30.218,2.327,0.985,-0.037,-0.106
1625494050229,2021-07-05T10.07.30.229,2.338,0.987,-0.036,-0.108
1625494050239,2021-07-05T10.07.30.239,2.348,0.984,-0.037,-0.110
1625494050249,2021-07-05T10.07.30.249,2.358,0.987,-0.037,-0.109
1625494050259,2021-07-05T10.07.30.259,2.368,0.987,-0.039,-0.107
1625494050270,2021-07-05T10.07.30.270,2.379,0.982,-0.040,-0.109
1625494050279,2021-07-05T10.07.30.279,2.388,0.982,-0.037,-0.108
1625494050289,2021-07-05T10.07.30.289,2.398,0.981,-0.037,-0.108
1625494050299,2021-07-05T10.07.30.299,2.408,0.985,-0.037,-0.105
1625494050309,2021-07-05T10.07.30.309,2.418,0.987,-0.038,-0.107
1625494050320,2021-07-05T10.07.30.320,2.429,0.986,-0.039,-0.109
1625494050330,2021-07-05T10.07.30.330,2.439,0.984,-0.037,-0.108
1625494050340,2021-07-05T10.07.30.340,2.449,0.986,-0.037,-0.107
1625494050350,2021-07-05T10.07.30.350,2.459,0.989,-0.039,-0.105
1625494050361,2021-07-05T10.07.30.361,2.470,0.987,-0.036,-0.107
1625494050371,2021-07-05T10.07.30.371,2.480,0.986,-0.037,-0.110
1625494050381,2021-07-05T10.07.30.381,2.490,0.986,-0.039,-0.108
1625494050390,2021-07-05T10.07.30.390,2.499,0.987,-0.037,-0.108
1625494050400,2021-07-05T10.07.30.400,2.509,0.986,-0.038,-0.106
1625494050410,2021-07-05T10.07.30.410,2.519,0.986,-0.039,-0.107
1625494050421,2021-07-05T10.07.30.421,2.530,0.987,-0.038,-0.108
1625494050431,2021-07-05T10.07.30.431,2.540,0.984,-0.038,-0.108
1625494050441,2021-07-05T10.07.30.441,2.550,0.983,-0.039,-0.109
1625494050451,2021-07-05T10.07.30.451,2.560,0.987,-0.038,-0.106
1625494050462,2021-07-05T10.07.30.462,2.571,0.986,-0.037,-0.109
1625494050472,2021-07-05T10.07.30.472,2.581,0.986,-0.038,-0.110
1625494050482,2021-07-05T10.07.30.482,2.591,0.988,-0.040,-0.106
1625494050492,2021-07-05T10.07.30.492,2.601,0.984,-0.038,-0.104
1625494050501,2021-07-05T10.07.30.501,2.610,0.984,-0.036,-0.107
1625494050511,2021-07-05T10.07.30.511,2.620,0.984,-0.039,-0.108
1625494050522,2021-07-05T10.07.30.522,2.631,0.986,-0.040,-0.108
1625494050532,2021-07-05T10.07.30.532,2.641,0.982,-0.038,-0.108
1625494050542,2021-07-05T10.07.30.542,2.651,0.982,-0.038,-0.105
1625494050552,2021-07-05T10.07.30.552,2.661,0.985,-0.037,-0.108
1625494050563,2021-07-05T10.07.30.563,2.672,0.990,-0.038,-0.108
1625494050573,2021-07-05T10.07.30.573,2.682,0.987,-0.035,-0.107
1625494050583,2021-07-05T10.07.30.583,2.692,0.983,-0.039,-0.109
1625494050593,2021-07-05T10.07.30.593,2.702,0.983,-0.040,-0.107
1625494050604,2021-07-05T10.07.30.604,2.713,0.985,-0.038,-0.105
1625494050614,2021-07-05T10.07.30.614,2.723,0.987,-0.037,-0.107
1625494050623,2021-07-05T10.07.30.623,2.732,0.986,-0.039,-0.107
1625494050633,2021-07-05T10.07.30.633,2.742,0.986,-0.040,-0.106
1625494050645,2021-07-05T10.07.30.645,2.754,0.985,-0.038,-0.109
1625494050654,2021-07-05T10.07.30.654,2.763,0.985,-0.038,-0.107
1625494050664,2021-07-05T10.07.30.664,2.773,0.985,-0.039,-0.106
1625494050676,2021-07-05T10.07.30.676,2.785,0.986,-0.039,-0.107
1625494050684,2021-07-05T10.07.30.684,2.793,0.984,-0.037,-0.111
1625494050695,2021-07-05T10.07.30.695,2.804,0.986,-0.037,-0.108
1625494050705,2021-07-05T10.07.30.705,2.814,0.983,-0.038,-0.106
1625494050715,2021-07-05T10.07.30.715,2.824,0.986,-0.038,-0.108
1625494050724,2021-07-05T10.07.30.724,2.833,0.986,-0.041,-0.107
1625494050736,2021-07-05T10.07.30.736,2.845,0.984,-0.037,-0.109
1625494050744,2021-07-05T10.07.30.744,2.853,0.984,-0.038,-0.108
1625494050755,2021-07-05T10.07.30.755,2.864,0.988,-0.038,-0.107
1625494050765,2021-07-05T10.07.30.765,2.874,0.985,-0.036,-0.109
1625494050775,2021-07-05T10.07.30.775,2.884,0.983,-0.037,-0.110
1625494050785,2021-07-05T10.07.30.785,2.894,0.985,-0.038,-0.111
1625494050796,2021-07-05T10.07.30.796,2.905,0.986,-0.039,-0.108
1625494050806,2021-07-05T10.07.30.806,2.915,0.987,-0.038,-0.109
1625494050816,2021-07-05T10.07.30.816,2.925,0.985,-0.038,-0.108
1625494050826,2021-07-05T10.07.30.826,2.935,0.984,-0.038,-0.107
1625494050835,2021-07-05T10.07.30.835,2.944,0.983,-0.038,-0.107
1625494050845,2021-07-05T10.07.30.845,2.954,0.986,-0.038,-0.110
1625494050856,2021-07-05T10.07.30.856,2.965,0.984,-0.038,-0.108
1625494050866,2021-07-05T10.07.30.866,2.975,0.985,-0.039,-0.108
1625494050876,2021-07-05T10.07.30.876,2.985,0.986,-0.039,-0.112
1625494050886,2021-07-05T10.07.30.886,2.995,0.986,-0.038,-0.108
1625494050897,2021-07-05T10.07.30.897,3.006,0.985,-0.038,-0.107
1625494050907,2021-07-05T10.07.30.907,3.016,0.984,-0.039,-0.109
1625494050917,2021-07-05T10.07.30.917,3.026,0.985,-0.038,-0.109
1625494050927,2021-07-05T10.07.30.927,3.036,0.984,-0.036,-0.106
1625494050938,2021-07-05T10.07.30.938,3.047,0.984,-0.039,-0.108
1625494050947,2021-07-05T10.07.30.947,3.056,0.985,-0.038,-0.106
1625494050957,2021-07-05T10.07.30.957,3.066,0.986,-0.037,-0.107
1625494050967,2021-07-05T10.07.30.967,3.076,0.985,-0.039,-0.105
1625494050977,2021-07-05T10.07.30.977,3.086,0.988,-0.040,-0.107
1625494050988,2021-07-05T10.07.30.988,3.097,0.986,-0.037,-0.108
1625494050998,2021-07-05T10.07.30.998,3.107,0.984,-0.041,-0.106
1625494051008,2021-07-05T10.07.31.008,3.117,0.987,-0.038,-0.107
1625494051018,2021-07-05T10.07.31.018,3.127,0.986,-0.036,-0.108
1625494051029,2021-07-05T10.07.31.029,3.138,0.985,-0.037,-0.109
1625494051039,2021-07-05T10.07.31.039,3.148,0.985,-0.037,-0.108
1625494051049,2021-07-05T10.07.31.049,3.158,0.984,-0.037,-0.106
1625494051058,2021-07-05T10.07.31.058,3.167,0.984,-0.037,-0.105
1625494051068,2021-07-05T10.07.31.068,3.177,0.987,-0.036,-0.104
1625494051078,2021-07-05T10.07.31.078,3.187,0.988,-0.038,-0.106
1625494051089,2021-07-05T10.07.31.089,3.198,0.984,-0.037,-0.107
1625494051099,2021-07-05T10.07.31.099,3.208,0.983,-0.039,-0.107
1625494051109,2021-07-05T10.07.31.109,3.218,0.984,-0.039,-0.105
1625494051119,2021-07-05T10.07.31.119,3.228,0.985,-0.038,-0.108
1625494051130,2021-07-05T10.07.31.130,3.239,0.986,-0.039,-0.108
1625494051140,2021-07-05T10.07.31.140,3.249,0.986,-0.039,-0.108
1625494051150,2021-07-05T10.07.31.150,3.259,0.984,-0.039,-0.108
1625494051159,2021-07-05T10.07.31.159,3.268,0.984,-0.039,-0.108
1625494051169,2021-07-05T10.07.31.169,3.278,0.986,-0.040,-0.107
1625494051179,2021-07-05T10.07.31.179,3.288,0.989,-0.038,-0.108
1625494051190,2021-07-05T10.07.31.190,3.299,0.985,-0.037,-0.109
1625494051200,2021-07-05T10.07.31.200,3.309,0.984,-0.039,-0.107
1625494051210,2021-07-05T10.07.31.210,3.319,0.982,-0.039,-0.106
1625494051220,2021-07-05T10.07.31.220,3.329,0.983,-0.037,-0.104
1625494051231,2021-07-05T10.07.31.231,3.340,0.985,-0.037,-0.103
1625494051241,2021-07-05T10.07.31.241,3.350,0.984,-0.039,-0.106
1625494051251,2021-07-05T10.07.31.251,3.360,0.981,-0.039,-0.107
1625494051261,2021-07-05T10.07.31.261,3.370,0.982,-0.039,-0.106
1625494051272,2021-07-05T10.07.31.272,3.381,0.987,-0.038,-0.103
1625494051280,2021-07-05T10.07.31.280,3.389,0.986,-0.040,-0.108
1625494051291,2021-07-05T10.07.31.291,3.400,0.986,-0.037,-0.109
1625494051301,2021-07-05T10.07.31.301,3.410,0.984,-0.036,-0.109
1625494051311,2021-07-05T10.07.31.311,3.420,0.985,-0.036,-0.108
1625494051322,2021-07-05T10.07.31.322,3.431,0.984,-0.038,-0.107
1625494051332,2021-07-05T10.07.31.332,3.441,0.986,-0.039,-0.107
1625494051342,2021-07-05T10.07.31.342,3.451,0.985,-0.038,-0.109
1625494051352,2021-07-05T10.07.31.352,3.461,0.985,-0.037,-0.109
1625494051363,2021-07-05T10.07.31.363,3.472,0.984,-0.038,-0.107
1625494051373,2021-07-05T10.07.31.373,3.482,0.985,-0.038,-0.106
1625494051383,2021-07-05T10.07.31.383,3.492,0.987,-0.039,-0.106
1625494051392,2021-07-05T10.07.31.392,3.501,0.987,-0.038,-0.107
1625494051402,2021-07-05T10.07.31.402,3.511,0.984,-0.037,-0.108
1625494051412,2021-07-05T10.07.31.412,3.521,0.985,-0.035,-0.108
1625494051423,2021-07-05T10.07.31.423,3.532,0.984,-0.039,-0.108
1625494051433,2021-07-05T10.07.31.433,3.542,0.986,-0.037,-0.108
1625494051443,2021-07-05T10.07.31.443,3.552,0.985,-0.036,-0.108
1625494051453,2021-07-05T10.07.31.453,3.562,0.985,-0.042,-0.106
1625494051464,2021-07-05T10.07.31.464,3.573,0.984,-0.036,-0.107
1625494051474,2021-07-05T10.07.31.474,3.583,0.986,-0.038,-0.106
1625494051484,2021-07-05T10.07.31.484,3.593,0.988,-0.038,-0.107
1625494051494,2021-07-05T10.07.31.494,3.603,0.982,-0.038,-0.106
